make,year,mileage,horsepower,engine_size,num_cylinders,fuel_type,body_style,transmission,color,condition,owner_count,accident_history,service_history,price
Chevrolet,2021,50002,345,6.7,3,Diesel,Crossover,CVT,Black,Poor,3,1,0,47069
Mercedes,2021,142326,203,1.8,12,Diesel,Coupe,Automatic,White,Poor,4,0,0,39343
Kia,2021,153216,78,5.6,12,Electric,SUV,Automatic,White,Excellent,1,1,1,63779
Nissan,2011,160286,77,5.2,12,Electric,SUV,Manual,Brown,Good,2,0,1,49171
Audi,2012,241726,316,3.7,10,Electric,Hatchback,CVT,Blue,Excellent,2,1,0,41849
Chevrolet,2019,216791,137,1.2,8,Diesel,Pickup,Automatic,Gold,Excellent,2,1,0,37735
Hyundai,2023,207846,430,1.3,6,Gasoline,Sedan,Automatic,Red,Good,4,0,1,50429
BMW,2017,142162,234,6.1,6,Gasoline,Sedan,Automatic,Brown,Poor,3,1,0,34998
Chevrolet,2017,147709,253,6.9,3,Diesel,Pickup,Automatic,Blue,Fair,1,0,0,50612
Kia,2023,158487,172,5.0,12,Gasoline,Crossover,Automatic,Blue,Excellent,2,0,0,54422
Kia,2012,29071,173,3.6,3,Diesel,Crossover,Automatic,Brown,Good,1,1,0,34897
Nissan,2014,63243,281,4.8,10,Gasoline,Crossover,Manual,Gray,Excellent,4,0,0,51734
Audi,2011,247023,225,4.5,10,Hybrid,Sedan,CVT,Blue,Good,2,0,1,45623
Mercedes,2008,130827,378,3.2,4,Hybrid,SUV,CVT,Gray,Fair,4,0,1,31523
Nissan,2021,113215,191,1.2,10,Diesel,Sedan,Automatic,White,Fair,3,0,1,40274
Nissan,2021,177312,444,5.9,4,Gasoline,Wagon,CVT,White,Poor,4,0,1,46164
BMW,2012,219879,323,3.1,8,Electric,Coupe,CVT,Blue,Good,4,1,0,35337
Ford,2014,106570,114,5.9,3,Gasoline,Crossover,CVT,White,Good,3,0,1,25200
Audi,2017,169506,418,2.4,8,Hybrid,SUV,Automatic,Red,Poor,1,0,0,54445
Honda,2017,74724,190,0.8,10,Hybrid,Hatchback,Automatic,Gray,Poor,3,0,1,36916
Nissan,2013,120359,347,1.8,8,Gasoline,Hatchback,CVT,Gray,Good,3,1,1,34211
Mazda,2012,80697,325,3.7,8,Gasoline,Coupe,CVT,Blue,Poor,4,1,0,27055
Ford,2011,33732,425,6.7,8,Electric,SUV,Automatic,White,Fair,1,1,0,63080
Honda,2009,126465,221,1.4,10,Electric,Sedan,Manual,Black,Excellent,2,1,0,31431
Mazda,2011,147386,439,6.1,12,Gasoline,Sedan,CVT,Gold,Fair,3,1,0,43330
Audi,2022,160026,146,4.1,8,Gasoline,Wagon,Manual,Brown,Poor,1,0,0,34201
Toyota,2017,62108,114,5.9,4,Gasoline,Wagon,CVT,Brown,Good,3,0,1,37715
Mazda,2017,223116,347,2.6,10,Gasoline,Sedan,Manual,Gray,Good,3,0,1,43479
Hyundai,2010,223577,237,6.0,8,Diesel,Hatchback,Manual,Blue,Fair,3,1,0,28559
Ford,2017,116195,408,5.6,12,Gasoline,Crossover,Manual,Blue,Good,3,1,0,57159
Mazda,2023,108081,67,2.2,10,Electric,Hatchback,Automatic,Red,Poor,4,0,0,40967
Volkswagen,2008,41668,380,1.6,6,Hybrid,Wagon,Manual,Silver,Fair,1,1,1,39701
Toyota,2015,28061,372,6.2,12,Diesel,Coupe,Manual,Gold,Good,1,0,0,65358
Kia,2012,84252,306,6.8,4,Gasoline,Sedan,Manual,Silver,Excellent,1,0,0,50475
Kia,2020,44749,382,1.0,8,Hybrid,Wagon,CVT,Gray,Excellent,3,0,0,56844
Hyundai,2011,135560,314,5.3,6,Diesel,Wagon,Manual,Brown,Poor,4,0,0,29900
Mazda,2023,109680,387,6.4,6,Hybrid,Crossover,CVT,Red,Good,3,0,0,65620
Mazda,2015,152979,113,6.1,10,Gasoline,Sedan,Manual,Red,Poor,3,0,1,32545
BMW,2023,154849,308,6.8,6,Gasoline,Crossover,Manual,Red,Fair,1,0,0,54102
Mazda,2014,229301,298,5.5,4,Electric,Sedan,Automatic,Gray,Excellent,3,0,1,52128
Chevrolet,2009,56745,288,3.5,4,Gasoline,Crossover,CVT,Silver,Fair,2,1,0,24169
Mercedes,2008,113464,126,2.7,3,Gasoline,Hatchback,Manual,Brown,Good,3,1,1,10747
Volkswagen,2019,96865,110,2.8,4,Diesel,Coupe,CVT,Red,Poor,2,1,1,25740
BMW,2023,117428,156,5.3,12,Electric,Coupe,CVT,Brown,Poor,3,0,0,50970
Audi,2023,217890,151,5.4,6,Diesel,Sedan,Automatic,White,Poor,4,0,0,30965
BMW,2018,28624,323,2.0,4,Hybrid,SUV,Automatic,Blue,Fair,4,1,0,37130
Chevrolet,2011,28321,350,6.2,10,Gasoline,Pickup,Automatic,Blue,Excellent,1,0,1,62817
Audi,2015,146560,155,5.2,3,Hybrid,Wagon,Automatic,Brown,Fair,3,0,0,36878
Volkswagen,2019,27574,147,4.3,6,Diesel,Wagon,Automatic,Black,Fair,2,0,1,36461
Chevrolet,2009,141312,137,3.7,3,Gasoline,Sedan,Automatic,Black,Good,2,0,0,19619
Honda,2010,179293,347,4.2,6,Gasoline,Crossover,Automatic,Gray,Good,3,0,1,40935
Mercedes,2019,146550,179,1.8,10,Diesel,SUV,Automatic,Gray,Good,2,0,1,49478
Volkswagen,2008,191717,361,2.1,3,Diesel,Hatchback,Manual,Blue,Excellent,4,0,1,31198
Mazda,2008,246770,224,1.4,8,Diesel,Crossover,CVT,White,Excellent,2,0,0,24788
Honda,2020,155334,241,1.8,12,Diesel,Crossover,Automatic,Gold,Good,1,0,0,53659
Hyundai,2010,123831,282,3.6,12,Diesel,Sedan,Automatic,Silver,Good,4,0,1,45793
Volkswagen,2018,188868,370,4.1,6,Gasoline,Sedan,CVT,Silver,Excellent,4,0,0,50659
Hyundai,2012,140504,66,0.9,8,Diesel,Wagon,Manual,Gray,Poor,4,0,0,10690
Audi,2019,100257,389,5.7,3,Gasoline,Sedan,CVT,White,Excellent,3,0,0,58923
Honda,2010,69291,322,2.6,8,Gasoline,Sedan,CVT,Gray,Excellent,3,0,0,33106
Mercedes,2008,215176,220,6.5,8,Diesel,Sedan,Automatic,Gold,Excellent,4,0,0,42188
Mazda,2008,195471,210,6.8,3,Diesel,Wagon,CVT,Silver,Good,3,0,0,31336
Mazda,2015,132600,144,1.9,10,Electric,Hatchback,CVT,Brown,Poor,2,0,0,33498
Chevrolet,2017,215786,206,3.7,8,Gasoline,Hatchback,Automatic,Gray,Excellent,3,1,1,35400
Mazda,2018,55428,171,0.8,8,Diesel,Pickup,Automatic,Red,Good,3,0,1,35455
Nissan,2019,223803,440,4.5,10,Diesel,Pickup,Automatic,Brown,Fair,4,0,1,59259
BMW,2020,136374,95,4.6,8,Diesel,Sedan,Automatic,Gold,Fair,1,0,1,44462
Toyota,2020,218630,344,2.3,8,Electric,Pickup,CVT,Gold,Excellent,1,0,0,62139
Mercedes,2019,136127,247,4.3,8,Electric,Wagon,CVT,Gray,Fair,1,0,0,53270
Honda,2022,116317,141,2.2,12,Hybrid,Hatchback,Manual,Blue,Poor,2,0,0,42674
Nissan,2021,144789,61,1.8,4,Gasoline,Crossover,Manual,Gray,Fair,3,1,0,14444
Mercedes,2009,132449,444,4.8,10,Hybrid,Hatchback,CVT,Blue,Fair,1,0,1,55968
Honda,2020,33699,362,2.8,8,Diesel,Hatchback,Manual,Gold,Poor,4,0,0,44302
